,Judul Berita,Isi Berita
0,SBY Soal Putusan PN Jakpus Tunda Pemilu 2024: What's Really Going On?,Presiden keenam Republik Indonesia Susilo Bambang Yudhoyono (SBY) menyoroti putusan Pengadilan Negeri (PN) Jakarta Pusat yang mengabulkan gugatan Partai Rakyat Adil Makmur (Prima) dan menghukum Komisi Pemilihan Umum (KPU) untuk tidak melaksanakan sisa tahapan Pemilu 2024.
1,"Partai Prima dan Agus Jabo, Aktor di Balik Gugatan Tunda Pemilu 2024",Partai Rakyat Adil Makmur (Prima) menjadi pihak di balik putusan Pengadilan Negeri Jakarta Pusat tentang penundaan pemilu hingga 2025.
2,Status Baru AG Pacar Mario Usai Polisi Kuak Chat WhatsApp hingga CCTV,"Polda Metro Jaya menetapkan status baru terhadap anak perempuan berinisial AG di kasus penganiayaan anak pengurus GP Ansor, Cristalino David Ozora oleh anak pejabat Ditjen Pajak Rafael Alun Trisambodo, Mario Dandy Satriyo."
3,Harta Kim Jong Un Tembus Rp76 T saat Korut Krisis Akut,Kekayaan pemimpin Korea Utara Kim Jong Un dikabarkan naik menjadi US$5 miliar atau sekitar Rp76 triliun pada 2023 saat krisis akut menghantam negara itu.
4,VIDEO: Dubes Rusia Bicara Propaganda Barat hingga Misi Damai China,"Perdana Menteri Fiji Sitiveni Rabuka menjadi sorotan setelah memicu amarah Indonesia dengan bertemu dengan tokoh separatis Papua, Benny Wenda, baru-baru ini."
5,Kenapa PM Fiji Dukung Gerakan Papua Merdeka Benny Wenda?,Menko Kemaritiman dan Investasi Luhut Panjaitan dan anak buahnya mulai memakai Kendaraan Bermotor Listrik Berbasis Baterai (KBLBB) atau kendaraan listrik untuk mobil dinas.
6,Luhut dan Anak Buah Mulai Pakai Mobil Listrik untuk Dinas,"Badan Pengawas Perdagangan Berjangka Komoditi (Bappebti) mencatat jumlah transaksi aset kripto pada Januari 2023 mengalami peningkatan. Dalam catatan Bappebti, peningkatan aset kripto pada Januari 2023 sebesar Rp12,14 triliun atau naik 24,6 persen dibanding bulan sebelumnya."
7,Cara Mudah Buat Investor Aset Kripto Dapat Tambahan Modal,Direktur Jenderal Perkeretaapian Kemenhub Risal Wasal mengatakan kereta api perintis lintas Makassar-Parepare segera diresmikan pada Maret ini.
8,Kemenhub Akan Resmikan KA Makassar-Parepare Maret Ini,"Michael Rinaldi berhasil jadi yang tercepat di sesi latihan bebas pertama (FP1) WSBK Mandalika, mengalahkan Toprak Razgatlioglu."
9,Hasil FP1 WSBK Mandalika: Rinaldi Kalahkan Toprak,Marc Marquez mengungkap hubungan buruk dengan Valentino Rossi bukan terjadi sejak MotoGP Malaysia 2015. Pembalap Repsol Honda itu mengungkap rahasia mengenai insiden di 2014.
10,Hari Pertama Latihan Bebas WSBK Mandalika 2023 Cuaca Cerah,"Tim SpaceX Crew-6 yang beranggotakan empat astronaut, termasuk astronaut asal Uni Emirat Arab (UEA) Sultan AlNeyadi, sukses meluncur menuju Stasiun Luar Angkasa Internasional (ISS)."
11,Marquez Ungkap Rahasia: Rossi Marah Sama Saya Sejak 2014,Teknologi kecerdasan buatan ChatGPT menuai tepuk tangan meriah sekaligus sinisme dunia dalam rentang usianya yang amat muda. Mungkinkah sensasi platform besutan OpenAI ini menggusur manusia?
12,"Crew-6 'OTW' ke ISS, Petualangan AlNeyadi di Luar Angkasa Dimulai",Pimpinan Badan Riset dan Inovasi Nasional (BRIN) disebut memanggil para peneliti yang membongkar cela lembaga sambil memberi ancaman pangkas tunjangan kinerja.
13,"ChatGPT, Antara Revolusi Internet dan Kisah Kalkulator",Sepeda motor besar atau moge yang tidak dilengkapi surat-surat seperti STNK dan BPKB menyita perhatian masyarakat. Moge sejenis Harley-Davidson masih berkeliaran di jalan bahkan ada dugaan dikawal polisi setiap aktivitas touring.
14,Peneliti BRIN Terancam Sanksi Sunat Tunjangan Jika Bocor ke Media,"Irianto Ibrahim, Presiden Motor Besar Club Indonesia (MBCI) mengeluhkan masih banyak pengguna Harley-Davidson yang tidak dilengkapi surat-surat kendaraan atau bodong. Ia berharap kepolisian menertibkan mereka agar cap pemilik moge tetap baik."
