,Date,Username,Tweet,Lokasi
0,2023-03-03 03:43:55+00:00,"Presiden simbol negara dasarnya Pancasila&amp;burung garuda UUD 45 psl 36A. Sila 1, diwajibkan WNI keturunan laksanakan QS 49:13 agar bhineka tunggal ika berjalan. Burung garuda tdk ada di RRT/Arab dlm,yg ada di +62
Cc @ListyoSigitP @mohmahfudmd @jokowi @puanmaharani_ri @Fahrihamzah",Hendrikorachman,
1,2023-03-03 03:42:30+00:00,"tumben lo waras broo? 😁
@PDIPerjuangan 
@puanmaharani_ri",MadePuja16,
2,2023-03-03 03:35:58+00:00,"Dlm UUD 45 psl 6 &amp; 18, presiden sebagai lambang NKRI dimana tafsir ada kekhususan yaitu peresiden hrs orang indonesia asli. Org indonesia asli pengertiannya ttg sosial budaya +62 pk @ListyoSigitP 
Cc @mohmahfudmd @jokowi @KPU_ID @puanmaharani_ri @LaNyallaMM1 @Fahrihamzah @DPR_RI",Hendrikorachman,
3,2023-03-03 03:34:20+00:00,@astronoudt @PolJokesID Gw voting mba² ini aja deh @puanmaharani_ri,rusdiandi1,indonesia
4,2023-03-03 03:20:26+00:00,@TxtdariDJB @fourdn_ @AREAJULID Apa sdh ktmu solusinya yang mulia @puanmaharani_ri ?,Aridjaw,"ÜT: -6.0305484,106.0482681"
5,2023-03-03 03:20:19+00:00,"Jika om @RamliRizal hebat, napa Gusdur bisa lengser jadi presiden NKRI. Dg jadi presiden tdk bisa selesaikan masalah jika @DPR_RI niatnya bukan utk rakyat
Cc @jokowi @mohmahfudmd @Fahrihamzah @puanmaharani_ri @LaNyallaMM1 @ZUL_Hasan @cakimiNOW @jansen_jsp @airlangga_hrt @KPK_RI",Hendrikorachman,
6,2023-03-03 03:16:45+00:00,"Politisi partai saat itu di @DPR_RI niatnya bukan utk rakyat tapi perkaya buat kelompok &amp; dirinya sendiri. Beda waktu baru merdeka, saling kritisi utk kepentingan rakyat&amp; NKRI
Cc @RamliRizal @jokowi @FaisalBasri @bahlillahadalia @mohmahfudmd @puanmaharani_ri @cakimiNOW @KPK_RI",Hendrikorachman,
7,2023-03-03 03:11:47+00:00,"@BuruhPemda moga Presiden @jokowi mendengarkan aspirasi soal ketimpangan tukin!
biasanya beliau gerak cepat!
@kempanrb @prastow @BKNgoid @kemendagri @KSPgoid @KemensetnegRI @mohmahfudmd @puanmaharani_ri @pramonoanung @ganjarpranowo @PBIDI @erickthohir @PNS_Ababil @gibran_tweet",AikHoki,
8,2023-03-03 02:58:38+00:00,@kiwalipitu @KAPLAK_DENGKLAK @ch_chotimah2 @ganjarpranowo @puanmaharani_ri @jokowi Ready olweis ki 😁,Coco_exp,Gosan 
9,2023-03-03 02:54:33+00:00,@Coco_exp @ch_chotimah2 @ganjarpranowo @puanmaharani_ri @jokowi @kiwalipitu Dijemput karo Jeep-longan 🤣🤣🤣,KAPLAK_DENGKLAK,
10,2023-03-03 02:53:45+00:00,@Coco_exp @KAPLAK_DENGKLAK @ch_chotimah2 @ganjarpranowo @puanmaharani_ri @jokowi Aja kelalen nggawa salak karo duren👍🤝😁,kiwalipitu,Jakarta timur
11,2023-03-03 02:53:22+00:00,"@Coco_exp @ch_chotimah2 @ganjarpranowo @puanmaharani_ri @jokowi @kiwalipitu arep tek tuntun mubeng2 pasar... 
Jere pemimpin go tuntunan ya dituntun mbok kongseb 🙈🙈🙈",KAPLAK_DENGKLAK,
12,2023-03-03 02:51:06+00:00,@KAPLAK_DENGKLAK @ch_chotimah2 @ganjarpranowo @puanmaharani_ri @jokowi @kiwalipitu Jel dijemput nggo rubikon kang,Coco_exp,Gosan 
13,2023-03-03 02:50:08+00:00,"@Coco_exp @ch_chotimah2 @ganjarpranowo @puanmaharani_ri Sip... 
Disuguih bodolan pasar hasil dari mahakarya ndoro tuwan kanjeng gusti fangeran ndara kampung... 
Urung gelem ngampreng maring gonku koh ki @ganjarpranowo Ki @jokowi ...
Urung gelem ngambah tanah Lembah Cawene Serayu Perdikan larangan - PURWAKENCANA...
Yoh @kiwalipitu",KAPLAK_DENGKLAK,
14,2023-03-03 02:47:03+00:00,@KAPLAK_DENGKLAK @ch_chotimah2 @ganjarpranowo @puanmaharani_ri Aja kelalen di suguh gedang godok kang,Coco_exp,Gosan 
15,2023-03-03 02:44:58+00:00,@Quvvatt @puanmaharani_ri @PDI_Perjuangan Kuwalat arek iki!!,PrakarsaWin,
16,2023-03-03 02:44:34+00:00,"@Coco_exp @ch_chotimah2 @ganjarpranowo Ngeneh ki @ganjarpranowo Kon tilik pasare Inyong nang lembah serayu bae... 
Sepuluh tahun ora dirawat secara profesional... 
Dadi ndara nang kampung mung andon mlentetna telieh karo gagang tok... 
Monggo yu @puanmaharani_ri Rika tek celuk kon kloyong klinong deleng kasunyatane..",KAPLAK_DENGKLAK,
17,2023-03-03 02:41:02+00:00,"Ketua DPR RI Puan Maharani berada di urutan kedelapan dengan meraih dukungan 13 suara (0,97 persen).

Prabowo Subianto

#PrabowoUnggul

#PrabowoNana2024

#PrabowoBelaPetani

#PrabowoPerkuatKesehatan

#BangkitBersama

Setyoko2024",SitiSumiran,
18,2023-03-03 02:32:01+00:00,"Dlm UUD 45 psl 22E ayat 3 wajib ada partai, kep @MahkamahAgung bisa tertunda pemilu krn syarat peserta pemilu.Ada kekosongan hukum ttg penjelasan pemilu di @KPU_ID &amp; @bawaslu_RI 
Cc @Yusrilihza_Mhd @jokowi @puanmaharani_ri @LaNyallaMM1 @febridiansyah @jansen_jsp @dennyindrayana",Hendrikorachman,
19,2023-03-03 02:28:50+00:00,@Brigade01Arwan1 @DPP_PKB @cakimiNOW @halimiskandarnu @EmHasanuddin @yusuf_ch @yazid_my @FarsaLukman @Bambangelf @masbams70 @mohmahfudmd @prabowo @puanmaharani_ri @psi_id Topkb dah,RiyadusSholiqin,"Lamongan, Jawa Timur"
